0 0.0149346 0.772873 -1.53276 -0.0149346 0.772873 -1.53276 0.0149346 -0.772873 1.53276 -0.0149346 -0.772873 1.53276
0 0.0149346 0.772873 -1.53276 -0.0149346 0.772873 -1.53276 0.0149346 -0.772873 1.53276 -0.0149346 -0.772873 1.53276
0.01 0.015583 0.773835 -1.53269 -0.0142809 0.773654 -1.53215 0.015708 -0.773026 1.53506 -0.0141914 -0.772721 1.5346
0.02 0.0173216 0.776538 -1.53258 -0.0125272 0.775989 -1.5309 0.0177528 -0.773336 1.54122 -0.0122239 -0.772376 1.53979
0.03 0.0198389 0.780706 -1.53258 -0.00998272 0.779871 -1.52985 0.0206579 -0.773577 1.55011 -0.00941929 -0.772001 1.54784
0.04 0.0228245 0.786061 -1.53286 -0.00695547 0.785294 -1.52984 0.0240152 -0.773513 1.56059 -0.00616327 -0.771742 1.55823
0.05 0.0259711 0.792311 -1.53352 -0.00375239 0.792249 -1.53168 0.027418 -0.772905 1.57149 -0.00284563 -0.771725 1.57041
0.06 0.0289773 0.79915 -1.53465 -0.000678508 0.800724 -1.53614 0.028229 -0.769006 1.57499 0.000135551 -0.772063 1.58379
0.07 0.0293413 0.803233 -1.52903 0.00196484 0.810691 -1.54395 0.030462 -0.766293 1.58241 0.00237114 -0.772862 1.59776
0.08 0.0311639 0.809932 -1.53051 0.00388264 0.822112 -1.55578 0.0315298 -0.762515 1.58708 0.00343952 -0.774236 1.61169
0.09 0.0319964 0.816414 -1.53286 0.00478948 0.834929 -1.57225 0.0310013 -0.757532 1.58797 0.00290686 -0.776323 1.625
0.12 0.0291504 0.835293 -1.55223 2.43323e-05 0.880519 -1.653 0.0187487 -0.735311 1.56339 -0.0113076 -0.78837 1.65707
0.13 0.0259627 0.839262 -1.55726 -0.00280674 0.897078 -1.68814 0.010381 -0.724348 1.54286 -0.0192786 -0.794188 1.66493
0.17 0.0211104 0.856128 -1.58499 -0.00289118 0.959789 -1.8387 -0.0248833 -0.675069 1.43923 -0.0486531 -0.814035 1.66597
0.22 0.0693594 0.886865 -1.61983 0.065046 1.01407 -1.98266 -0.0254387 -0.613565 1.31522 -0.0448282 -0.81944 1.62166
0.25 0.13073 0.9101 -1.62654 0.136993 1.03457 -2.01953 0.0134542 -0.636095 1.33283 -0.0141044 -0.805719 1.58515
0.26 0.150372 0.911346 -1.61606 0.160665 1.0411 -2.02293 0.030778 -0.669592 1.36905 -0.000897561 -0.797919 1.57334
0.27 0.169456 0.914954 -1.60403 0.182511 1.0478 -2.02177 0.0521272 -0.712687 1.41714 0.0123679 -0.78999 1.56602
0.28 0.186182 0.916616 -1.58579 0.206076 1.04957 -2.01257 0.075409 -0.761935 1.47014 0.0250501 -0.78205 1.56408
0.32 0.213266 0.894546 -1.43418 0.244517 1.0779 -1.93792 0.172319 -0.962267 1.6466 0.0589574 -0.746956 1.61733
0.36 0.181809 0.822739 -1.16742 0.220851 1.11002 -1.80986 0.239038 -1.07655 1.66628 0.0630773 -0.690207 1.72525
0.4 0.129531 0.717375 -0.844446 0.170747 1.14413 -1.68308 0.236999 -1.04433 1.47248 0.0659941 -0.611949 1.83917
0.45 0.0822005 0.679174 -0.714469 0.122775 1.18062 -1.57869 0.186782 -0.855597 0.95033 0.0679276 -0.509736 1.91444
0.49 0.0719246 0.787666 -1.03046 0.106195 1.20831 -1.55299 0.156462 -0.65928 0.506671 0.0545055 -0.452289 1.9152
0.5 0.0739049 0.815114 -1.12834 0.105954 1.21423 -1.55382 0.153902 -0.641484 0.468455 0.0449443 -0.443952 1.90461
0.51 0.0779799 0.839344 -1.22713 0.107412 1.21952 -1.55724 0.15372 -0.652284 0.493149 0.0336039 -0.438118 1.89037
0.55 0.11387 0.885878 -1.59316 0.12722 1.23329 -1.58575 0.165314 -0.757236 0.71309 -0.0186815 -0.431432 1.80673
0.59 0.171157 0.826026 -1.84632 0.161434 1.23272 -1.61047 0.18977 -0.873192 0.946035 -0.0596484 -0.428077 1.67932
0.64 0.241016 0.625303 -1.92929 0.210817 1.20236 -1.58058 0.227581 -1.01788 1.25431 -0.0928586 -0.396132 1.49948
